race,year,stage,date,route,distance,stage_type,stage_winner
Vuelta a España,2021,1,14 August,Burgos to Burgos,7.1 km (4.4 mi),Individual time trial,Primož Roglič (SLO)
Vuelta a España,2021,2,15 August,Caleruega to Burgos,166.7 km (103.6 mi),Flat stage,Jasper Philipsen (BEL)
Vuelta a España,2021,3,16 August,Santo Domingo de Silos to Espinosa de los Monteros – Picón Blanco,202.8 km (126.0 mi),Mountain stage,Rein Taaramäe (EST)
Vuelta a España,2021,4,17 August,El Burgo de Osma to Molina de Aragón,163.9 km (101.8 mi),Flat stage,Fabio Jakobsen (NED)
Vuelta a España,2021,5,18 August,Tarancón to Albacete,184.4 km (114.6 mi),Flat stage,Jasper Philipsen (BEL)
Vuelta a España,2021,6,19 August,Requena to Alto de Cullera,158.3 km (98.4 mi),Medium-mountain stage,Magnus Cort (DEN)
Vuelta a España,2021,7,20 August,Gandía to Balcón de Alicante,152 km (94 mi),Mountain stage,Michael Storer (AUS)
Vuelta a España,2021,8,21 August,Santa Pola to La Manga del Mar Menor,173.7 km (107.9 mi),Flat stage,Fabio Jakobsen (NED)
Vuelta a España,2021,9,22 August,Puerto Lumbreras to Alto de Velefique,188 km (117 mi),Mountain stage,Damiano Caruso (ITA)
Vuelta a España,2021,10,24 August,Roquetas de Mar to Rincón de la Victoria,189 km (117 mi),Hilly stage,Michael Storer (AUS)
Vuelta a España,2021,11,25 August,Antequera to Valdepeñas de Jaén,133.6 km (83.0 mi),Hilly stage,Primož Roglič (SLO)
Vuelta a España,2021,12,26 August,Jaén to Córdoba,175 km (109 mi),Hilly stage,Magnus Cort (DEN)
Vuelta a España,2021,13,27 August,Belmez to Villanueva de la Serena,203.7 km (126.6 mi),Flat stage,Florian Sénéchal (FRA)
Vuelta a España,2021,14,28 August,Don Benito to Pico Villuercas,165.7 km (103.0 mi),Mountain stage,Romain Bardet (FRA)
Vuelta a España,2021,15,29 August,Navalmoral de la Mata to El Barraco,197.5 km (122.7 mi),Mountain stage,Rafał Majka (POL)
Vuelta a España,2021,16,31 August,Laredo to Santa Cruz de Bezana,180 km (110 mi),Flat stage,Fabio Jakobsen (NED)
Vuelta a España,2021,17,1 September,Unquera to Lagos de Covadonga,185.8 km (115.5 mi),Mountain stage,Primož Roglič (SLO)
Vuelta a España,2021,18,2 September,Salas to Altu d'El Gamoniteiru,162.6 km (101.0 mi),Mountain stage,Miguel Ángel López (COL)
Vuelta a España,2021,19,3 September,Tapia to Monforte de Lemos,191.2 km (118.8 mi),Hilly stage,Magnus Cort (DEN)
Vuelta a España,2021,20,4 September,Sanxenxo to Mos (Castro de Herville),202.2 km (125.6 mi),Mountain stage,Clément Champoussin (FRA)
Vuelta a España,2021,21,5 September,Padrón to Santiago de Compostela,33.8 km (21.0 mi),Individual time trial,Primož Roglič (SLO)
Vuelta a España,2022,1,19 August,Utrecht (Netherlands) to Utrecht (Netherlands),23.2 km (14.4 mi),Team time trial,Team Jumbo–Visma
Vuelta a España,2022,2,20 August,'s-Hertogenbosch (Netherlands) to Utrecht (Netherlands),175.1 km (108.8 mi),Flat stage,Sam Bennett (IRL)
Vuelta a España,2022,3,21 August,Breda (Netherlands) to Breda (Netherlands),193.2 km (120.0 mi),Flat stage,Sam Bennett (IRL)
Vuelta a España,2022,4,23 August,Vitoria-Gasteiz to Laguardia,153.5 km (95.4 mi),Medium-mountain stage,Primož Roglič (SLO)
Vuelta a España,2022,5,24 August,Irun to Bilbao,187 km (116 mi),Medium-mountain stage,Marc Soler (ESP)
Vuelta a España,2022,6,25 August,Bilbao to Pico Jano (San Miguel de Aguayo),180 km (110 mi),Mountain stage,Jay Vine (AUS)
Vuelta a España,2022,7,26 August,Camargo to Cistierna,190.1 km (118.1 mi),Medium-mountain stage,Jesús Herrada (ESP)
Vuelta a España,2022,8,27 August,La Pola Llaviana to Colláu Fancuaya,154.5 km (96.0 mi),Mountain stage,Jay Vine (AUS)
Vuelta a España,2022,9,28 August,Villaviciosa to Les Praeres,175.5 km (109.1 mi),Mountain stage,Louis Meintjes (RSA)
Vuelta a España,2022,10,30 August,Elche to Alicante,31.1 km (19.3 mi),Individual time trial,Remco Evenepoel (BEL)
Vuelta a España,2022,11,31 August,ElPozo Alimentación to Cabo de Gata,193 km (120 mi),Flat stage,Kaden Groves (AUS)
Vuelta a España,2022,12,1 September,Salobreña to Peñas Blancas,195.5 km (121.5 mi),Medium-mountain stage,Richard Carapaz (ECU)
Vuelta a España,2022,13,2 September,Ronda to Montilla,171 km (106 mi),Flat stage,Mads Pedersen (DEN)
Vuelta a España,2022,14,3 September,Montoro to Sierra de La Pandera,160.3 km (99.6 mi),Mountain stage,Richard Carapaz (ECU)
Vuelta a España,2022,15,4 September,Martos to Sierra Nevada,148.1 km (92.0 mi),Mountain stage,Thymen Arensman (NED)
Vuelta a España,2022,16,6 September,Sanlúcar de Barrameda to Tomares,188.9 km (117.4 mi),Flat stage,Mads Pedersen (DEN)
Vuelta a España,2022,17,7 September,Aracena to Monasterio de Tentudía,160 km (99 mi),Medium-mountain stage,Rigoberto Urán (COL)
Vuelta a España,2022,18,8 September,Trujillo to Alto del Piornal,191.7 km (119.1 mi),Mountain stage,Remco Evenepoel (BEL)
Vuelta a España,2022,19,9 September,Talavera de la Reina to Talavera de la Reina,132.7 km (82.5 mi),Medium-mountain stage,Mads Pedersen (DEN)
Vuelta a España,2022,20,10 September,Moralzarzal to Puerto de Navacerrada,175.5 km (109.1 mi),Mountain stage,Richard Carapaz (ECU)
Vuelta a España,2022,21,11 September,Las Rozas to Madrid,100.5 km (62.4 mi),Flat stage,Juan Sebastián Molano (COL)
Vuelta a España,2023,1,26 August,Barcelona to Barcelona,14.8 km (9.2 mi),Team time trial,Team dsm–firmenich
Vuelta a España,2023,2,27 August,Mataró to Barcelona,182 km (113 mi),Hilly stage,Andreas Kron (DEN)
Vuelta a España,2023,3,28 August,Súria to Arinsal (Andorra),158.5 km (98.5 mi),Mountain stage,Remco Evenepoel (BEL)
Vuelta a España,2023,4,29 August,Andorra la Vella (Andorra) to Tarragona,185 km (115 mi),Hilly stage,Kaden Groves (AUS)
Vuelta a España,2023,5,30 August,Morella to Burriana,186.5 km (115.9 mi),Hilly stage,Kaden Groves (AUS)
Vuelta a España,2023,6,31 August,La Vall d'Uixó to Observatorio Astrofísico de Javalambre,183.5 km (114.0 mi),Mountain stage,Sepp Kuss (USA)
Vuelta a España,2023,7,1 September,Utiel to Oliva,201 km (125 mi),Flat stage,Geoffrey Soupe (FRA)
Vuelta a España,2023,8,2 September,Dénia to Xorret de Catí,165 km (103 mi),Mountain stage,Primož Roglič (SLO)
Vuelta a España,2023,9,3 September,Cartagena to Collado de la Cruz de Caravaca,184.5 km (114.6 mi),Medium-mountain stage,Lennard Kämna (GER)
Vuelta a España,2023,10,5 September,Valladolid to Valladolid,25.8 km (16.0 mi),Individual time trial,Filippo Ganna (ITA)
Vuelta a España,2023,11,6 September,Lerma to La Laguna Negra,165 km (103 mi),Hilly stage,Jesús Herrada (ESP)
Vuelta a España,2023,12,7 September,Ólvega to Zaragoza,151 km (94 mi),Flat stage,Juan Sebastián Molano (COL)
Vuelta a España,2023,13,8 September,Formigal to Col du Tourmalet (France),135 km (84 mi),Mountain stage,Jonas Vingegaard (DEN)
Vuelta a España,2023,14,9 September,Sauveterre-de-Béarn (France) to Larra-Belagua,156.5 km (97.2 mi),Mountain stage,Remco Evenepoel (BEL)
Vuelta a España,2023,15,10 September,Pamplona to Lekunberri,158.5 km (98.5 mi),Hilly stage,Rui Costa (POR)
Vuelta a España,2023,16,12 September,Liencres Playa to Bejes,120.5 km (74.9 mi),Hilly stage,Jonas Vingegaard (DEN)
Vuelta a España,2023,17,13 September,Ribadesella to Alto de L'Angliru,124.5 km (77.4 mi),Mountain stage,Primož Roglič (SLO)
Vuelta a España,2023,18,14 September,Pola de Allande to La Cruz de Linares,179 km (111 mi),Mountain stage,Remco Evenepoel (BEL)
Vuelta a España,2023,19,15 September,La Bañeza to Íscar,177.5 km (110.3 mi),Flat stage,Alberto Dainese (ITA)
Vuelta a España,2023,20,16 September,Manzanares el Real to Guadarrama,208 km (129 mi),Hilly stage,Wout Poels (NED)
Vuelta a España,2023,21,17 September,Hipódromo de la Zarzuela to Madrid,101.5 km (63.1 mi),Flat stage,Kaden Groves (AUS)
Vuelta a España,2024,1,17 August,Lisbon (Portugal) to Oeiras (Portugal),12 km (7.5 mi),Individual time trial,Brandon McNulty (USA)
Vuelta a España,2024,2,18 August,Cascais (Portugal) to Ourém (Portugal),194 km (121 mi),Hilly stage,Kaden Groves (AUS)
Vuelta a España,2024,3,19 August,Lousã (Portugal) to Castelo Branco (Portugal),191.2 km (118.8 mi),Hilly stage,Wout van Aert (BEL)
Vuelta a España,2024,4,20 August,Plasencia to Pico Villuercas,170.5 km (105.9 mi),Mountain stage,Primož Roglič (SLO)
Vuelta a España,2024,5,21 August,Fuente del Maestre to Sevilla,177 km (110 mi),Flat stage,Pavel Bittner (CZE)
Vuelta a España,2024,6,22 August,Jerez de la Frontera to Yunquera,185.5 km (115.3 mi),Mountain stage,Ben O'Connor (AUS)
Vuelta a España,2024,7,23 August,Archidona to Córdoba,180.5 km (112.2 mi),Hilly stage,Wout van Aert (BEL)
Vuelta a España,2024,8,24 August,Úbeda to Cazorla,159 km (99 mi),Medium-mountain stage,Primož Roglič (SLO)
Vuelta a España,2024,9,25 August,Motril to Granada,178.5 km (110.9 mi),Mountain stage,Adam Yates (GBR)
Vuelta a España,2024,10,27 August,Ponteareas to Baiona,160 km (99 mi),Mountain stage,Wout van Aert (BEL)
Vuelta a España,2024,11,28 August,Padrón to Padrón,166.5 km (103.5 mi),Medium-mountain stage,Eddie Dunbar (IRL)
Vuelta a España,2024,12,29 August,Orense to Estación de Montaña de Manzaneda,137.5 km (85.4 mi),Hilly stage,Pablo Castrillo (ESP)
Vuelta a España,2024,13,30 August,Lugo to Puerto de Ancares,176 km (109 mi),Mountain stage,Michael Woods (CAN)
Vuelta a España,2024,14,31 August,Villafranca del Bierzo to Villablino,200.5 km (124.6 mi),Medium-mountain stage,Kaden Groves (AUS)
Vuelta a España,2024,15,1 September,Infiesto [es] to Valgrande-Pajares,143 km (89 mi),Mountain stage,Pablo Castrillo (ESP)
Vuelta a España,2024,16,3 September,Luanco to Lagos de Covadonga,181.5 km (112.8 mi),Mountain stage,Marc Soler (ESP)
Vuelta a España,2024,17,4 September,Arnuero to Santander,141.5 km (87.9 mi),Medium-mountain stage,Kaden Groves (AUS)
Vuelta a España,2024,18,5 September,Vitoria-Gasteiz to Maeztu,179.5 km (111.5 mi),Medium-mountain stage,Urko Berrade (ESP)
Vuelta a España,2024,19,6 September,Logroño to Alto de Moncalvillo,173.5 km (107.8 mi),Hilly stage,Primož Roglič (SLO)
Vuelta a España,2024,20,7 September,Villarcayo to Picón Blanco,172 km (107 mi),Mountain stage,Eddie Dunbar (IRL)
Vuelta a España,2024,21,8 September,Distrito Telefónica to Madrid,24.6 km (15.3 mi),Individual time trial,Stefan Küng (SUI)
