race,year,winner,country,team,distance
Tour de France,1974,Eddy Merckx,Belgium,Molteni,"4,098 km (2,546 mi)"
Tour de France,1975,Bernard Thévenet,France,Peugeot–BP–Michelin,"4,000 km (2,500 mi)"
Tour de France,1976,Lucien Van Impe,Belgium,Gitane–Campagnolo,"4,017 km (2,496 mi)"
Tour de France,1977,Bernard Thévenet,France,Peugeot–Esso–Michelin,"4,096 km (2,545 mi)"
Tour de France,1978,Bernard Hinault,France,Renault–Gitane–Campagnolo,"3,908 km (2,428 mi)"
Tour de France,1979,Bernard Hinault,France,Renault–Gitane,"3,765 km (2,339 mi)"
Tour de France,1980,Joop Zoetemelk,Netherlands,TI–Raleigh–Creda,"3,842 km (2,387 mi)"
Tour de France,1981,Bernard Hinault,France,Renault–Elf–Gitane,"3,753 km (2,332 mi)"
Tour de France,1982,Bernard Hinault,France,Renault–Elf–Gitane,"3,507 km (2,179 mi)"
Tour de France,1983,Laurent Fignon,France,Renault–Elf,"3,809 km (2,367 mi)"
Tour de France,1984,Laurent Fignon,France,Renault–Elf,"4,021 km (2,499 mi)"
Tour de France,1985,Bernard Hinault,France,La Vie Claire,"4,109 km (2,553 mi)"
Tour de France,1986,Greg LeMond,United States,La Vie Claire,"4,094 km (2,544 mi)"
Tour de France,1987,Stephen Roche,Ireland,Carrera Jeans–Vagabond,"4,231 km (2,629 mi)"
Tour de France,1988,Pedro Delgado,Spain,Reynolds,"3,286 km (2,042 mi)"
Tour de France,1989,Greg LeMond,United States,AD Renting–W-Cup–Bottecchia,"3,285 km (2,041 mi)"
Tour de France,1990,Greg LeMond,United States,Z–Tomasso,"3,504 km (2,177 mi)"
Tour de France,1991,Miguel Induráin,Spain,Banesto,"3,914 km (2,432 mi)"
Tour de France,1992,Miguel Induráin,Spain,Banesto,"3,983 km (2,475 mi)"
Tour de France,1993,Miguel Induráin,Spain,Banesto,"3,714 km (2,308 mi)"
Tour de France,1994,Miguel Induráin,Spain,Banesto,"3,978 km (2,472 mi)"
Tour de France,1995,Miguel Induráin,Spain,Banesto,"3,635 km (2,259 mi)"
Tour de France,1996,Bjarne Riis[b],Denmark,Team Telekom,"3,765 km (2,339 mi)"
Tour de France,1997,Jan Ullrich,Germany,Team Telekom,"3,950 km (2,450 mi)"
Tour de France,1998,Marco Pantani,Italy,Mercatone Uno–Bianchi,"3,875 km (2,408 mi)"
Tour de France,1999,No winner[c],—,—,"3,687 km (2,291 mi)"
Tour de France,2000,No winner[c],—,—,"3,662 km (2,275 mi)"
Tour de France,2001,No winner[c],—,—,"3,458 km (2,149 mi)"
Tour de France,2002,No winner[c],—,—,"3,278 km (2,037 mi)"
Tour de France,2003,No winner[c],—,—,"3,427 km (2,129 mi)"
Tour de France,2004,No winner[c],—,—,"3,391 km (2,107 mi)"
Tour de France,2005,No winner[c],—,—,"3,359 km (2,087 mi)"
Tour de France,2006,Óscar Pereiro[d],Spain,Caisse d'Epargne–Illes Balears,"3,657 km (2,272 mi)"
Tour de France,2007,Alberto Contador,Spain,Discovery Channel,"3,570 km (2,220 mi)"
